Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
30,9,3,9,0.45555555555555555,61.29283178461585,agent.zip
30,6,2,12,0.36666666666666664,57.13969423737577,agent.zip
30,9,2,9,0.4777777777777778,57.17329639925796,agent.zip
40,6,3,9,0.46944444444444444,58.205442119833606,agent.zip
30,3,3,12,0.26666666666666666,61.81557264090829,agent.zip
30,3,2,6,0.2916666666666667,57.292762626750864,agent.zip
40,3,2,12,0.42777777777777776,50.67782169297271,agent.zip
40,3,3,12,0.2388888888888889,59.130927796545414,agent.zip
40,6,2,9,0.5805555555555556,50.6150566458268,agent.zip
40,6,2,12,0.5805555555555556,50.6150566458268,agent.zip
