Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
40,6,3,6,0.4583333333333333,61.395736176569464,agent.zip
30,3,2,9,0.20277777777777778,57.90431156490545,agent.zip
30,6,2,12,0.30833333333333335,57.96808707182938,agent.zip
30,9,2,6,0.4777777777777778,58.11281455432637,agent.zip
30,3,3,6,0.2722222222222222,58.097116841618266,agent.zip
30,9,2,9,0.4777777777777778,58.11281455432637,agent.zip
30,3,2,12,0.20277777777777778,57.90431156490545,agent.zip
40,6,2,9,0.4083333333333333,61.13509502117529,agent.zip
40,9,2,9,0.5555555555555556,60.9999498638711,agent.zip
40,3,2,6,0.26666666666666666,61.1556772965784,agent.zip
