Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
5,6,3,12,0.06713333333333334,72.65076151771906,agent.zip
5,3,3,12,0.04926666666666667,72.65074670947018,agent.zip
5,6,2,9,0.020933333333333335,71.72645537863984,agent.zip
5,9,2,12,0.038,67.70842589951113,agent.zip
5,3,2,9,0.015133333333333334,71.72612181899608,agent.zip
5,3,3,9,0.03426666666666667,65.8193477913516,agent.zip
5,9,1,12,0.012533333333333334,75.06432434348338,agent.zip
10,3,1,9,0.003533333333333333,62.475056428955575,agent.zip
10,3,2,6,0.007666666666666666,55.29432679031792,agent.zip
10,3,1,6,0.0096,75.79967343443884,agent.zip
10,3,3,6,0.022866666666666667,80.89460244944607,agent.zip
10,3,1,12,0.005,67.59044033819433,agent.zip
10,6,2,12,0.03966666666666667,78.81835453814584,agent.zip
10,9,2,9,0.03153333333333333,63.168269455383246,agent.zip
20,3,1,6,0.006466666666666667,67.92656899722324,agent.zip
20,6,3,6,0.10513333333333333,74.46954242254203,agent.zip
20,3,1,9,0.016,70.86869847573718,agent.zip
20,3,2,9,0.0566,65.77145889719563,agent.zip
40,6,2,12,0.2416,77.80844795350338,agent.zip
40,6,2,6,0.046,65.35926705150847,agent.zip
40,3,3,9,0.222,55.22564612637817,agent.zip
40,9,3,6,0.19486666666666666,72.69676594679296,agent.zip
40,6,2,9,0.13746666666666665,75.32364800841681,agent.zip
40,3,2,9,0.07946666666666667,65.98155622062845,agent.zip
