Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
10,3,1,6,0.004333333333333333,68.05787097992119,agent.zip
10,3,2,6,0.0026666666666666666,77.4528396114555,agent.zip
5,6,3,6,0.07666666666666666,89.84108943549536,agent.zip
5,6,2,12,0.043333333333333335,98.87189279782199,agent.zip
10,3,1,9,0.0036666666666666666,99.71482229390894,agent.zip
20,6,2,9,0.106,90.52088455493966,agent.zip
40,9,2,12,0.25466666666666665,75.1826643469242,agent.zip
40,6,3,9,0.307,73.64397284815244,agent.zip
10,9,2,12,0.05466666666666667,68.72221520370188,agent.zip
40,9,2,6,0.165,71.29958276294735,agent.zip
40,3,2,6,0.05266666666666667,75.06266186706407,agent.zip
40,6,2,12,0.30666666666666664,61.02016194912411,agent.zip
40,6,1,12,0.014666666666666666,60.872010412408905,agent.zip
40,6,2,6,0.058666666666666666,58.35293477089497,agent.zip
20,9,1,9,0.016,72.76346633941934,agent.zip
40,6,3,6,0.15733333333333333,67.03065678302234,agent.zip
5,3,2,6,0.006666666666666667,51.291888588458846,agent.zip
40,6,2,9,0.08733333333333333,80.79829112908102,agent.zip
5,3,1,6,0.0,92.39375862051374,agent.zip
10,3,3,6,0.027333333333333334,91.76082735956588,agent.zip
5,3,1,12,0.003,66.59032378530846,agent.zip
40,3,3,6,0.09666666666666666,37.21723680613144,agent.zip
40,9,3,9,0.34,55.69245855141808,agent.zip
20,6,1,12,0.011,72.14199172203237,agent.zip
