Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
5,9,2,6,0.0164,82.56225325100054,agent.zip
5,3,3,6,0.013466666666666667,76.21427495017866,agent.zip
5,9,3,9,0.05893333333333333,84.14526789200231,agent.zip
5,3,1,9,0.0027333333333333333,63.255717793390815,agent.zip
5,9,1,6,0.0051333333333333335,72.67001879319618,agent.zip
10,6,3,12,0.1374,69.73777786539426,agent.zip
5,3,3,9,0.033933333333333336,84.15794641515738,agent.zip
10,9,1,12,0.03353333333333333,80.88278902199633,agent.zip
10,9,3,12,0.1744,69.7424512619894,agent.zip
10,3,2,6,0.0036666666666666666,72.71971924126538,agent.zip
10,6,2,9,0.04133333333333333,62.94286419089092,agent.zip
20,6,2,6,0.0266,93.4314884190882,agent.zip
20,6,3,6,0.09246666666666667,71.09719972391711,agent.zip
20,9,3,12,0.23373333333333332,93.20338524067621,agent.zip
20,6,1,6,0.0286,75.0160495878173,agent.zip
20,3,2,6,0.009533333333333333,79.82507655228038,agent.zip
20,9,3,6,0.14393333333333333,69.15182840515801,agent.zip
20,9,2,6,0.04293333333333333,72.18525278235167,agent.zip
20,9,2,9,0.08806666666666667,73.61426058851437,agent.zip
20,3,2,12,0.08546666666666666,77.62000418380939,agent.zip
40,3,3,12,0.3191333333333333,64.805774698637,agent.zip
40,6,1,9,0.06246666666666666,72.81415091738022,agent.zip
40,3,1,9,0.04086666666666667,71.32924732416659,agent.zip
40,9,3,6,0.23673333333333332,90.13156617132157,agent.zip
