Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
30,9,2,6,0.5222222222222223,56.94745495295873,agent.zip
30,3,2,6,0.20833333333333334,56.865619483896204,agent.zip
30,3,3,9,0.35,63.01317829225744,agent.zip
30,6,3,12,0.4444444444444444,57.487856389511954,agent.zip
30,3,3,12,0.35,63.01317829225744,agent.zip
40,9,3,12,0.6333333333333333,63.17624966847905,agent.zip
40,9,2,9,0.725,63.096455440329606,agent.zip
40,6,3,12,0.49722222222222223,63.410395024700996,agent.zip
40,6,3,9,0.49722222222222223,63.410395024700996,agent.zip
40,3,2,9,0.3888888888888889,63.34574863494732,agent.zip
