Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
40,9,3,9,0.6527777777777778,66.46599598606007,agent.zip
30,9,2,9,0.475,51.57367644840159,agent.zip
30,3,3,9,0.2638888888888889,51.969563266500394,agent.zip
30,3,2,9,0.2916666666666667,51.17311181719135,agent.zip
30,9,2,6,0.475,51.57367644840159,agent.zip
30,6,3,6,0.35,52.07972214294452,agent.zip
40,9,2,9,0.7388888888888889,65.76254588530908,agent.zip
40,3,2,12,0.4083333333333333,66.01199613831768,agent.zip
40,9,3,6,0.6527777777777778,66.46599598606007,agent.zip
40,9,2,12,0.7388888888888889,65.76254588530908,agent.zip
