Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
40,3,2,9,0.4,64.70705846080348,agent.zip
30,3,3,6,0.4083333333333333,55.80924500613349,agent.zip
40,3,2,6,0.4,64.70705846080348,agent.zip
30,9,2,12,0.6,56.50872128266489,agent.zip
40,3,3,9,0.30833333333333335,63.600410376417294,agent.zip
40,6,3,6,0.45555555555555555,63.32860697629948,agent.zip
40,9,2,12,0.6972222222222222,64.71008518383378,agent.zip
40,6,3,12,0.45555555555555555,63.32860697629948,agent.zip
40,3,3,12,0.30833333333333335,63.600410376417294,agent.zip
40,9,3,12,0.5611111111111111,63.339997175096606,agent.zip
