Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
5,9,1,9,0.007333333333333333,71.40241552816529,agent.zip
5,3,2,6,0.0068,75.51875637435707,agent.zip
5,3,1,9,0.0026666666666666666,71.4166287464633,agent.zip
5,3,1,12,0.0004,75.27322549041295,agent.zip
5,6,2,6,0.010333333333333333,75.51913512170536,agent.zip
5,3,3,9,0.0378,80.04952715272812,agent.zip
10,3,2,6,0.0134,74.12041280709346,agent.zip
10,3,1,12,0.0106,76.49139446690216,agent.zip
10,3,3,9,0.06966666666666667,72.90856881388295,agent.zip
10,9,1,9,0.026333333333333334,59.69606479976527,agent.zip
10,6,1,9,0.015933333333333334,59.69875066228796,agent.zip
10,3,3,6,0.036333333333333336,84.04121558755948,agent.zip
20,6,3,9,0.1348,71.0507538511518,agent.zip
20,9,1,12,0.0384,67.31417425494973,agent.zip
20,6,2,12,0.12586666666666665,84.76925425734355,agent.zip
20,3,2,9,0.0568,70.13516096054867,agent.zip
20,9,2,12,0.1596,76.28457290475802,agent.zip
20,3,2,12,0.06093333333333333,61.13660949734729,agent.zip
20,9,3,12,0.25653333333333334,82.6404331252541,agent.zip
40,3,3,12,0.2892,62.545357623750945,agent.zip
40,3,3,6,0.11446666666666666,73.80900274032454,agent.zip
40,9,1,12,0.1002,80.54795705384203,agent.zip
40,6,3,12,0.3828,71.35492602217697,agent.zip
40,6,3,9,0.31933333333333336,66.35357524310733,agent.zip
