Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
40,3,2,6,0.25277777777777777,55.164462815487845,agent.zip
30,9,3,9,0.49722222222222223,55.2031900044751,agent.zip
30,6,2,6,0.39166666666666666,55.008568024738175,agent.zip
30,9,2,6,0.49444444444444446,55.2111756800162,agent.zip
30,3,2,9,0.25555555555555554,55.08737540366611,agent.zip
30,3,2,12,0.25555555555555554,55.08737540366611,agent.zip
30,9,2,9,0.49444444444444446,55.2111756800162,agent.zip
40,3,3,9,0.29444444444444445,63.763196488842425,agent.zip
40,3,2,9,0.25277777777777777,55.164462815487845,agent.zip
40,6,3,6,0.44722222222222224,63.55946769146404,agent.zip
