Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
40,3,2,9,0.3388888888888889,55.99973221787692,agent.zip
40,6,3,9,0.5138888888888888,56.47505390628111,agent.zip
30,6,2,9,0.3888888888888889,51.376944526713324,agent.zip
30,6,3,6,0.35555555555555557,52.99487374667916,agent.zip
30,9,3,12,0.5,53.07133371351702,agent.zip
30,9,2,12,0.5,51.38564136283751,agent.zip
40,6,3,6,0.5138888888888888,56.47505390628111,agent.zip
40,9,2,9,0.6666666666666666,56.228362057024015,agent.zip
40,3,3,9,0.34444444444444444,56.59927355163119,agent.zip
40,6,3,12,0.5138888888888888,56.47505390628111,agent.zip
