Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
5,6,3,9,0.04766666666666667,79.15567829051233,agent.zip
5,6,3,6,0.021066666666666668,77.41022895613737,agent.zip
5,6,2,9,0.015466666666666667,71.45470647354558,agent.zip
5,9,1,9,0.007266666666666667,94.98712825609843,agent.zip
5,6,2,12,0.032266666666666666,67.22602166159035,agent.zip
5,9,2,9,0.0164,71.44671847733217,agent.zip
10,6,3,12,0.12053333333333334,84.22556426566914,agent.zip
10,9,2,9,0.057866666666666663,71.5943769609284,agent.zip
10,6,2,9,0.05226666666666667,70.49149007130026,agent.zip
10,9,1,12,0.010933333333333333,73.95061366670234,agent.zip
10,3,2,9,0.028466666666666668,72.24612850030651,agent.zip
10,3,2,6,0.0118,70.04208789279568,agent.zip
10,6,3,9,0.09633333333333334,67.08221924541229,agent.zip
10,3,1,9,0.006,73.03261972360889,agent.zip
20,6,2,12,0.1186,74.19854921502721,agent.zip
20,9,3,12,0.256,76.3250390062986,agent.zip
20,3,2,12,0.07453333333333333,72.3947839258701,agent.zip
20,3,3,9,0.1208,68.86869179985796,agent.zip
20,9,2,6,0.04326666666666667,79.38684023606113,agent.zip
20,9,3,6,0.11293333333333333,78.25937962099611,agent.zip
40,9,3,9,0.4189333333333333,76.29852090391134,agent.zip
40,9,2,12,0.21933333333333332,76.342149383791,agent.zip
40,3,1,6,0.035333333333333335,77.12845385523879,agent.zip
40,3,3,6,0.118,96.82614234229796,agent.zip
