Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
20,9,1,12,0.012666666666666666,65.79800277476643,agent.zip
10,3,3,9,0.05533333333333333,78.61826418046415,agent.zip
5,9,1,6,0.006,81.73988175081797,agent.zip
10,9,2,9,0.05,75.96216281405049,agent.zip
5,9,2,12,0.04033333333333333,89.1254687125723,agent.zip
20,6,3,6,0.083,70.64490964603377,agent.zip
10,6,1,12,0.044,78.88772954276568,agent.zip
5,9,1,12,0.0033333333333333335,89.11946365693132,agent.zip
10,6,1,9,0.006,84.8921233074572,agent.zip
5,3,1,12,0.0023333333333333335,87.86399283803217,agent.zip
10,3,3,6,0.042,79.49787396257496,agent.zip
40,9,1,6,0.13133333333333333,86.11814284327558,agent.zip
40,3,3,9,0.26266666666666666,60.57724453559238,agent.zip
10,3,2,6,0.004666666666666667,64.61328153109504,agent.zip
10,9,1,9,0.014333333333333333,59.679688072214084,agent.zip
40,3,2,12,0.12533333333333332,63.257384227717296,agent.zip
10,3,3,12,0.028,70.1239597936406,agent.zip
10,3,1,6,0.0023333333333333335,55.803178454117216,agent.zip
20,6,2,12,0.141,69.19681685300964,agent.zip
40,3,1,12,0.07066666666666667,66.63142660810405,agent.zip
40,6,2,12,0.16933333333333334,81.60741551930077,agent.zip
40,6,3,12,0.4013333333333333,53.27854272471537,agent.zip
40,6,1,9,0.07466666666666667,70.37017906106934,agent.zip
40,9,2,6,0.15233333333333332,61.634231135951914,agent.zip
