Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
5,9,1,9,0.023466666666666667,78.88020205911138,agent.zip
5,3,3,6,0.0196,82.1342318409227,agent.zip
5,9,1,12,0.0214,70.5270898301353,agent.zip
5,9,2,6,0.0158,82.36169318018477,agent.zip
10,3,2,9,0.035,75.51534347610749,agent.zip
10,3,1,9,0.012333333333333333,80.64977386376476,agent.zip
10,3,1,12,0.003533333333333333,78.36984459392495,agent.zip
10,6,2,9,0.06473333333333334,81.42161189551614,agent.zip
10,3,1,6,0.0038,68.1921495424367,agent.zip
10,3,3,9,0.0706,74.64363355203476,agent.zip
10,9,3,6,0.07673333333333333,84.52548632217137,agent.zip
20,3,3,12,0.1584,75.08801173606683,agent.zip
20,3,1,9,0.016933333333333335,85.61544227316567,agent.zip
20,6,3,9,0.206,77.8241201068235,agent.zip
20,3,1,12,0.023066666666666666,72.47078240102445,agent.zip
20,3,2,6,0.021933333333333332,90.35717692791312,agent.zip
20,6,1,6,0.007666666666666666,75.14378396345602,agent.zip
20,9,3,6,0.125,83.16516261996766,agent.zip
20,6,2,6,0.0334,90.36986306806662,agent.zip
20,9,1,6,0.012,75.14160541040762,agent.zip
40,6,1,12,0.0572,78.06962420925555,agent.zip
40,9,2,9,0.18706666666666666,74.86600904460484,agent.zip
40,9,2,12,0.27613333333333334,75.90618526329027,agent.zip
40,6,2,9,0.1538,73.77441019127237,agent.zip
