Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
5,3,3,9,0.027866666666666668,81.71594172039798,agent.zip
5,6,2,12,0.027266666666666668,69.65164880138198,agent.zip
5,9,3,6,0.021333333333333333,74.01473551938298,agent.zip
10,9,2,12,0.08086666666666667,62.09492488203161,agent.zip
5,9,2,12,0.037733333333333334,69.62593533167697,agent.zip
5,3,1,12,0.0017333333333333333,76.69801618030198,agent.zip
5,9,1,12,0.005533333333333334,76.62758524286824,agent.zip
10,6,2,6,0.019933333333333334,68.30297759099302,agent.zip
10,9,1,6,0.0186,75.97602443344081,agent.zip
10,9,1,12,0.031266666666666665,65.59788074528595,agent.zip
10,6,3,6,0.042333333333333334,78.81465998310806,agent.zip
10,3,1,9,0.004933333333333333,75.44433065421512,agent.zip
20,9,1,9,0.0492,68.71624809976893,agent.zip
20,3,2,6,0.029533333333333335,63.19516269469779,agent.zip
20,6,2,6,0.047933333333333335,69.08382603857345,agent.zip
20,6,2,12,0.10186666666666666,84.99759241910031,agent.zip
20,9,2,12,0.11506666666666666,79.76960409624384,agent.zip
20,3,2,9,0.054266666666666664,76.04635864159026,agent.zip
20,3,1,9,0.014866666666666667,76.92736223394489,agent.zip
20,3,1,6,0.012266666666666667,81.27632530031933,agent.zip
40,6,1,12,0.0886,69.79391911248278,agent.zip
40,9,3,6,0.2548666666666667,80.07057873482721,agent.zip
40,6,3,12,0.3196,67.914177120782,agent.zip
40,9,3,12,0.43666666666666665,85.49733563417585,agent.zip
