Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
30,3,2,9,0.07654,77.87579427544951,agent.zip
30,6,2,12,0.15851,73.00642288417733,agent.zip
30,6,2,6,0.06412,79.41981099707385,agent.zip
30,3,3,12,0.23634,79.60922445669974,agent.zip
30,3,3,9,0.16432,73.66220153810657,agent.zip
30,3,3,6,0.0993,74.49075748086797,agent.zip
30,3,2,6,0.03331,76.82775855739006,agent.zip
40,3,2,6,0.04299,77.29063053804532,agent.zip
40,6,2,6,0.06313,77.06944168359055,agent.zip
40,9,3,6,0.23252,71.49734877944915,agent.zip
