Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
5,6,2,6,0.009,73.65448010586742,balanced.zip
5,6,3,12,0.0446,74.36615165327527,balanced.zip
5,3,1,9,0.00716,75.61728262395764,balanced.zip
5,9,1,6,0.01258,72.01058293022798,balanced.zip
5,3,2,9,0.01243,71.95011856574514,balanced.zip
10,3,3,12,0.06997,72.68087435396421,balanced.zip
10,3,2,12,0.02983,76.01611471524267,balanced.zip
10,9,3,6,0.06596,74.48614806852832,balanced.zip
10,9,1,9,0.02426,76.54172464678604,balanced.zip
10,9,2,6,0.02677,70.00722690560991,balanced.zip
10,3,1,6,0.00681,75.79228229222812,balanced.zip
10,6,3,12,0.09685,72.20979766463395,balanced.zip
10,3,1,12,0.00917,74.07326485115495,balanced.zip
10,6,1,12,0.01568,74.93139236280008,balanced.zip
10,9,1,6,0.0263,73.72620208574482,balanced.zip
10,6,1,6,0.02389,74.91821603456337,balanced.zip
10,6,2,6,0.02096,73.91220902532125,balanced.zip
10,9,2,9,0.04134,74.40168973007198,balanced.zip
20,6,3,9,0.15286,77.44505524823877,balanced.zip
20,9,1,6,0.04347,74.55472523469639,balanced.zip
20,3,3,12,0.12393,72.72220552676595,balanced.zip
20,3,2,12,0.06729,70.43389168594419,balanced.zip
20,9,1,9,0.04684,72.83289847022728,balanced.zip
20,6,1,9,0.03286,76.90039156618644,balanced.zip
20,6,2,9,0.07103,77.3201866855075,balanced.zip
5,9,1,12,0.01061,75.7878972972417,balanced.zip
5,6,3,6,0.02059,75.93147160862483,balanced.zip
5,9,2,6,0.01542,76.68910727506565,balanced.zip
10,9,3,9,0.1041,77.51664624226976,balanced.zip
10,3,2,9,0.01592,76.62810104951316,balanced.zip
10,9,2,12,0.06825,73.35773527735496,balanced.zip
5,6,1,12,0.00959,71.03307944629778,balanced.zip
5,9,3,12,0.07765,73.67278248096781,balanced.zip
5,3,3,12,0.0317,72.94463658684725,balanced.zip
40,6,3,6,0.17473,74.22959680557045,balanced.zip
40,3,1,9,0.0306,74.99748194140253,balanced.zip
40,3,2,9,0.0795,73.52868616464939,balanced.zip
40,3,1,12,0.03435,74.34980442397934,balanced.zip
40,9,2,12,0.24516,72.24768170945302,balanced.zip
40,6,2,6,0.0626,72.03812762999219,balanced.zip
40,9,2,9,0.17836,76.58684335335376,balanced.zip
10,6,2,12,0.05404,72.12364460220925,balanced.zip
20,6,2,6,0.04149,79.73751902872465,balanced.zip
20,9,2,6,0.05104,73.69777585015903,balanced.zip
20,6,3,6,0.09169,68.50813800148865,balanced.zip
20,9,3,6,0.12828,75.6508938854401,balanced.zip
20,9,1,12,0.05368,70.83456750314113,balanced.zip
5,3,2,12,0.02318,72.42080939321949,balanced.zip
5,9,3,9,0.04789,69.8577019372041,balanced.zip
10,9,3,12,0.12752,75.03626889036086,balanced.zip
10,3,2,6,0.0103,75.60964546149846,balanced.zip
5,6,2,12,0.02053,75.03556094618003,balanced.zip
10,6,3,9,0.08141,77.11989522872088,balanced.zip
20,6,1,6,0.0197,71.21721870942245,balanced.zip
5,3,1,12,0.00496,74.50042608785249,balanced.zip
40,6,2,9,0.12753,70.99372185764493,balanced.zip
40,6,3,12,0.3164,77.64897370887388,balanced.zip
5,6,2,9,0.02125,78.06006094313926,balanced.zip
10,9,1,12,0.02708,72.72087176073028,balanced.zip
10,3,1,9,0.00694,75.21544691511063,balanced.zip
40,3,3,9,0.18386,70.62897775920092,balanced.zip
40,9,1,6,0.07192,75.3020526103562,balanced.zip
5,9,1,9,0.0103,74.87541508388867,balanced.zip
40,9,1,12,0.10661,71.01542601930878,balanced.zip
40,3,1,6,0.02393,74.8072879944993,balanced.zip
40,9,3,9,0.35041,72.3582354979446,balanced.zip
10,3,3,9,0.05092,68.73851623052077,balanced.zip
10,6,3,6,0.0403,76.31530338389877,balanced.zip
20,3,3,9,0.10056,73.74871759581639,balanced.zip
5,3,3,6,0.01646,77.95070231431795,balanced.zip
20,3,2,6,0.02051,74.62224257462232,balanced.zip
20,6,1,12,0.04055,78.66037440773837,balanced.zip
40,3,3,12,0.23517,75.31032751137191,balanced.zip
20,9,2,12,0.12774,75.14808413274937,balanced.zip
5,9,2,12,0.03497,75.58397337486845,balanced.zip
40,6,1,12,0.05678,75.89024660048122,balanced.zip
20,9,2,9,0.10479,70.90962430496516,balanced.zip
20,3,1,12,0.01916,70.84656831561675,balanced.zip
20,3,1,6,0.00983,78.62036115308028,balanced.zip
5,9,3,6,0.03278,75.7311921482087,balanced.zip
5,3,1,6,0.00356,65.01021752547088,balanced.zip
5,3,3,9,0.02573,77.77799493603308,balanced.zip
10,3,3,6,0.02624,73.35619322906992,balanced.zip
5,6,3,9,0.03736,74.13952248691348,balanced.zip
20,9,3,12,0.23759,73.00048912475751,balanced.zip
5,9,2,9,0.0235,72.46520797198048,balanced.zip
20,3,1,9,0.01788,74.92504071477215,balanced.zip
20,6,2,12,0.10171,73.06871084461476,balanced.zip
10,6,2,9,0.04021,77.36863153027309,balanced.zip
40,9,2,6,0.11212,76.09789717048487,balanced.zip
40,3,2,6,0.04483,72.48587949219461,balanced.zip
20,3,3,6,0.05648,77.19843915493244,balanced.zip
40,6,1,9,0.04343,76.11363670149771,balanced.zip
40,9,3,12,0.39216,74.28178691943508,balanced.zip
20,6,3,12,0.1733,76.23085330791436,balanced.zip
40,6,2,12,0.18859,75.07887050505164,balanced.zip
40,3,2,12,0.11274,74.50639213037799,balanced.zip
40,3,3,6,0.10094,75.98584982032955,balanced.zip
40,9,1,9,0.07978,70.69257442486509,balanced.zip
40,9,3,6,0.22758,76.58535658932044,balanced.zip
