Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
5,6,2,12,0.043533333333333334,32.630887779747354,ppo_intruder_24_50_PBRS_Training_2_500000_steps.zip
5,6,1,6,0.0262,36.97677128234826,ppo_intruder_24_50_PBRS_Training_2_500000_steps.zip
5,9,1,12,0.026933333333333333,35.44058455424949,ppo_intruder_24_50_PBRS_Training_2_500000_steps.zip
5,3,3,12,0.07906666666666666,24.790540491510846,ppo_intruder_24_50_PBRS_Training_2_500000_steps.zip
5,3,2,9,0.07046666666666666,27.621460190792973,ppo_intruder_24_50_PBRS_Training_2_500000_steps.zip
10,9,3,9,0.13753333333333334,33.68347985991898,ppo_intruder_24_50_PBRS_Training_2_500000_steps.zip
10,3,2,6,0.0956,34.22770839124481,ppo_intruder_24_50_PBRS_Training_2_500000_steps.zip
10,3,1,6,0.1164,32.35252629130667,ppo_intruder_24_50_PBRS_Training_2_500000_steps.zip
20,9,2,9,0.19233333333333333,50.45928512957812,ppo_intruder_24_50_PBRS_Training_2_500000_steps.zip
20,9,3,9,0.27926666666666666,44.41766736018811,ppo_intruder_24_50_PBRS_Training_2_500000_steps.zip
20,6,3,6,0.18246666666666667,40.05258384789207,ppo_intruder_24_50_PBRS_Training_2_500000_steps.zip
20,3,3,9,0.24906666666666666,29.84298563492663,ppo_intruder_24_50_PBRS_Training_2_500000_steps.zip
20,6,1,9,0.14093333333333333,39.179746930141896,ppo_intruder_24_50_PBRS_Training_2_500000_steps.zip
20,9,1,6,0.1774,35.611376072649435,ppo_intruder_24_50_PBRS_Training_2_500000_steps.zip
20,3,3,6,0.21373333333333333,33.87964352137176,ppo_intruder_24_50_PBRS_Training_2_500000_steps.zip
20,3,2,12,0.16766666666666666,33.76566825229542,ppo_intruder_24_50_PBRS_Training_2_500000_steps.zip
40,6,3,9,0.3283333333333333,53.70891356262977,ppo_intruder_24_50_PBRS_Training_2_500000_steps.zip
40,3,3,6,0.28573333333333334,50.24013183071467,ppo_intruder_24_50_PBRS_Training_2_500000_steps.zip
40,6,1,6,0.1506,42.09511089542115,ppo_intruder_24_50_PBRS_Training_2_500000_steps.zip
40,3,1,6,0.21906666666666666,39.47708333106193,ppo_intruder_24_50_PBRS_Training_2_500000_steps.zip
40,3,3,9,0.3412,34.5323758462171,ppo_intruder_24_50_PBRS_Training_2_500000_steps.zip
40,6,3,6,0.3814666666666667,40.29990013508855,ppo_intruder_24_50_PBRS_Training_2_500000_steps.zip
40,6,2,9,0.21026666666666666,39.79321093373199,ppo_intruder_24_50_PBRS_Training_2_500000_steps.zip
40,6,2,12,0.2416,37.50520593170416,ppo_intruder_24_50_PBRS_Training_2_500000_steps.zip
