Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
5,9,2,6,0.02,74.42996583224688,agent_avg.zip
5,6,1,9,0.031933333333333334,77.37983633608148,agent_avg.zip
5,6,2,12,0.032733333333333337,71.967438801448,agent_avg.zip
5,3,3,12,0.035333333333333335,73.64306972148208,agent_avg.zip
5,6,1,12,0.0158,64.55762559961171,agent_avg.zip
5,6,3,12,0.049666666666666665,73.61870149433783,agent_avg.zip
5,3,2,9,0.011866666666666666,62.173562573333456,agent_avg.zip
5,9,1,9,0.04473333333333333,77.37613341094385,agent_avg.zip
10,3,3,9,0.04226666666666667,60.39846774833225,agent_avg.zip
10,6,1,12,0.012533333333333334,73.49701326088181,agent_avg.zip
20,3,1,12,0.0166,79.13018572703614,agent_avg.zip
20,6,2,6,0.023066666666666666,89.91215647915763,agent_avg.zip
20,6,3,6,0.0694,76.9201502948326,agent_avg.zip
20,6,3,12,0.20806666666666668,78.9935368921974,agent_avg.zip
20,3,2,6,0.0246,74.36575238555518,agent_avg.zip
20,3,2,9,0.0436,65.30843523572453,agent_avg.zip
40,6,1,6,0.028666666666666667,69.91072999265096,agent_avg.zip
40,3,1,6,0.0118,64.613468067816,agent_avg.zip
40,6,1,9,0.029533333333333335,67.63424748761244,agent_avg.zip
40,9,3,6,0.22546666666666668,80.64358336130319,agent_avg.zip
40,9,1,6,0.032466666666666665,74.73037856681945,agent_avg.zip
40,9,3,9,0.3648666666666667,91.2863854554672,agent_avg.zip
40,9,3,12,0.432,71.6134785662925,agent_avg.zip
40,3,1,12,0.061066666666666665,65.93516018880523,agent_avg.zip
