Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
5,3,1,6,0.00375,69.19426810052667,agent_avg.zip
5,9,3,12,0.07614,79.09382408961885,agent_avg.zip
5,6,2,6,0.00729,71.04537228010352,agent_avg.zip
5,3,3,12,0.03997,77.01514353264174,agent_avg.zip
5,9,1,12,0.01522,71.4556471042521,agent_avg.zip
10,3,1,12,0.00737,70.80800303550426,agent_avg.zip
10,6,1,9,0.01231,74.86105689479514,agent_avg.zip
10,9,1,12,0.02108,70.354693392786,agent_avg.zip
10,9,1,6,0.01484,75.87579483515313,agent_avg.zip
10,9,3,12,0.13456,75.77629688897315,agent_avg.zip
10,9,1,9,0.01399,71.6048055649907,agent_avg.zip
10,9,2,9,0.04248,73.79837900615759,agent_avg.zip
10,3,1,9,0.00987,72.6479331104943,agent_avg.zip
10,6,2,6,0.0231,73.80804212506861,agent_avg.zip
10,3,3,12,0.07859,76.06069904364614,agent_avg.zip
20,3,1,9,0.01489,75.41034671900874,agent_avg.zip
20,6,3,6,0.09168,70.63401565013609,agent_avg.zip
20,9,3,12,0.25001,76.0159798178608,agent_avg.zip
20,6,3,9,0.15295,79.17702859096694,agent_avg.zip
20,3,3,12,0.14792,82.08574039617419,agent_avg.zip
20,6,2,12,0.1054,73.94129359664716,agent_avg.zip
20,6,2,6,0.03022,73.59962215893339,agent_avg.zip
20,6,2,9,0.07167,74.5548040923771,agent_avg.zip
5,6,1,9,0.00793,75.91856632323284,agent_avg.zip
5,6,1,6,0.00543,80.03775912694007,agent_avg.zip
5,9,1,6,0.00796,77.32793993818751,agent_avg.zip
5,9,3,6,0.02528,72.52685685183046,agent_avg.zip
10,9,2,12,0.07239,76.00109624426685,agent_avg.zip
10,9,2,6,0.0278,71.45316130172485,agent_avg.zip
10,6,3,12,0.11162,77.3085598626149,agent_avg.zip
5,6,3,12,0.05737,72.56318498247815,agent_avg.zip
40,3,2,6,0.04554,71.75226978247946,agent_avg.zip
5,3,2,6,0.00485,77.08683042034512,agent_avg.zip
40,6,1,12,0.05476,74.23093281324842,agent_avg.zip
40,6,1,9,0.0431,72.902685854862,agent_avg.zip
40,3,1,12,0.03511,80.15452545401246,agent_avg.zip
40,3,3,9,0.19534,71.72568504664005,agent_avg.zip
20,9,1,12,0.04628,70.14011135345824,agent_avg.zip
40,9,3,12,0.41964,73.23174101168506,agent_avg.zip
40,6,2,6,0.06146,72.08106986505273,agent_avg.zip
40,6,3,6,0.17439,73.70853550908754,agent_avg.zip
20,6,1,12,0.02963,71.02162704557823,agent_avg.zip
40,6,3,9,0.2858,75.8477633988923,agent_avg.zip
5,3,1,12,0.00328,75.91215726468693,agent_avg.zip
10,9,3,9,0.10267,74.16315646703754,agent_avg.zip
20,9,3,6,0.11065,73.98849102404404,agent_avg.zip
10,6,3,9,0.0746,72.6805696690898,agent_avg.zip
20,6,1,9,0.02391,77.37279394429206,agent_avg.zip
5,3,2,12,0.02248,78.91522602893849,agent_avg.zip
10,3,3,9,0.06127,71.47202038939373,agent_avg.zip
5,9,2,12,0.03916,76.22817116597527,agent_avg.zip
10,3,2,9,0.02286,74.7448721581433,agent_avg.zip
20,9,3,9,0.20068,79.28763258939026,agent_avg.zip
20,6,1,6,0.02455,76.66944904475396,agent_avg.zip
5,3,1,9,0.00449,73.08771509556763,agent_avg.zip
5,6,3,6,0.02446,68.60802285840913,agent_avg.zip
5,9,2,9,0.02138,76.79055253259061,agent_avg.zip
40,9,1,9,0.06896,71.78299610004487,agent_avg.zip
10,6,1,12,0.02022,73.86692070903169,agent_avg.zip
5,3,3,9,0.0282,79.05205868260227,agent_avg.zip
10,9,3,6,0.05798,67.64514689838593,agent_avg.zip
10,6,1,6,0.01537,78.13939504806605,agent_avg.zip
40,6,1,6,0.03583,74.11025309600818,agent_avg.zip
40,3,2,9,0.09705,72.9540590117824,agent_avg.zip
40,3,2,12,0.13777,76.16495264952474,agent_avg.zip
20,3,1,6,0.01346,74.61475446909918,agent_avg.zip
20,6,3,12,0.19992,74.53694188401994,agent_avg.zip
5,6,2,12,0.03118,76.42369998406099,agent_avg.zip
5,3,3,6,0.01803,80.79204914581737,agent_avg.zip
40,3,1,6,0.02299,72.75018112014747,agent_avg.zip
40,9,1,6,0.05729,76.6351003442078,agent_avg.zip
20,3,1,12,0.03009,77.42665887062788,agent_avg.zip
20,3,2,12,0.07888,77.22353142492834,agent_avg.zip
20,9,2,9,0.11013,79.14069358256889,agent_avg.zip
10,6,2,12,0.05615,75.54816716387951,agent_avg.zip
10,3,1,6,0.00706,73.93301987883737,agent_avg.zip
5,6,2,9,0.0161,73.39923424541665,agent_avg.zip
10,6,3,6,0.05017,74.1087264138189,agent_avg.zip
20,9,1,6,0.02743,72.93375785850962,agent_avg.zip
20,9,2,6,0.04041,76.47243590752933,agent_avg.zip
5,9,1,9,0.00986,71.91446007529751,agent_avg.zip
5,3,2,9,0.00884,76.60527347408494,agent_avg.zip
40,6,2,9,0.13529,78.64660358698103,agent_avg.zip
10,3,3,6,0.03372,78.8230598119485,agent_avg.zip
5,9,2,6,0.01303,78.33125582247406,agent_avg.zip
5,6,3,9,0.04248,75.40843831469395,agent_avg.zip
20,3,3,6,0.0612,74.42253856226162,agent_avg.zip
40,9,2,9,0.16522,78.83986447095214,agent_avg.zip
10,6,2,9,0.03632,77.30737305961651,agent_avg.zip
40,6,2,12,0.20322,75.29067173825617,agent_avg.zip
