Model Checkpoint,Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Avg of Max Deviations
best_model.zip,5,3,1,6,0.00634,75.18016291580068,84.63130699119596
best_model.zip,5,3,1,9,0.00528,70.79898304356873,81.66150832124782
best_model.zip,5,3,1,12,0.00926,75.97730274241043,85.78906850182895
best_model.zip,5,3,2,6,0.00924,74.81529492241187,84.51403119802723
best_model.zip,5,3,2,9,0.01136,69.13250891603776,78.11247973523297
best_model.zip,5,3,2,12,0.0166,73.45263493672874,83.0844266976981
best_model.zip,5,3,3,6,0.01298,79.94105099721389,87.44010892275004
best_model.zip,5,3,3,9,0.01728,76.6835206493579,83.63364658530742
best_model.zip,5,3,3,12,0.0327,73.33653982878128,83.34490661344563
best_model.zip,5,6,1,6,0.00806,76.63915421304314,83.52819383800177
best_model.zip,5,6,1,9,0.00902,77.23356138499796,86.69420710618756
best_model.zip,5,6,1,12,0.0095,77.40330425874353,86.01986047854473
best_model.zip,5,6,2,6,0.01314,73.64178531977456,83.02656981008833
best_model.zip,5,6,2,9,0.01832,76.99583382320789,86.7529546565026
best_model.zip,5,6,2,12,0.02574,73.43095142441105,82.9879304386675
best_model.zip,5,6,3,6,0.02384,69.0692161065927,79.25801447577066
best_model.zip,5,6,3,9,0.03062,75.31878932310555,84.49643347055807
best_model.zip,5,6,3,12,0.03798,75.3728147545316,84.8712504888072
best_model.zip,5,9,1,6,0.01416,76.92030892954533,86.61914682478363
best_model.zip,5,9,1,9,0.02084,74.71853529144263,82.54709695066815
best_model.zip,5,9,1,12,0.0144,70.55838383506077,80.30673966876728
best_model.zip,5,9,2,6,0.01164,79.12826703639065,86.04835934897964
best_model.zip,5,9,2,9,0.02488,78.72835584479424,87.2784408819973
best_model.zip,5,9,2,12,0.03822,76.40677470255991,84.8114432133531
best_model.zip,5,9,3,6,0.02742,73.06538610447366,82.09090158417935
best_model.zip,5,9,3,9,0.04394,75.16650432536233,83.89993296040642
best_model.zip,5,9,3,12,0.05826,81.95730117142435,89.62257910932509
best_model.zip,10,3,1,6,0.0082,73.03381830760958,81.64398182314693
best_model.zip,10,3,1,9,0.01292,75.19164332815153,83.57023426749558
best_model.zip,10,3,1,12,0.0182,74.63491670505354,83.79733236997401
best_model.zip,10,3,2,6,0.01318,79.07859748075057,88.36300789357313
best_model.zip,10,3,2,9,0.01668,76.57314937762447,84.00955714041625
best_model.zip,10,3,2,12,0.02526,72.41940132791467,83.17432064725314
best_model.zip,10,3,3,6,0.03074,75.61203458019203,83.0963682740908
best_model.zip,10,3,3,9,0.03604,70.42392345900794,80.96283367836932
best_model.zip,10,3,3,12,0.0527,76.79627566230558,85.33636387613693
best_model.zip,10,6,1,6,0.0205,75.16823736387998,85.07893210543384
best_model.zip,10,6,1,9,0.01656,76.02012968191488,85.11969701137895
best_model.zip,10,6,1,12,0.02678,80.1221736422979,89.54097694742698
best_model.zip,10,6,2,6,0.01814,77.99477127410756,88.44835664611217
best_model.zip,10,6,2,9,0.0356,73.61367423711268,82.87779224468453
best_model.zip,10,6,2,12,0.0439,74.40071888739975,85.9615595977666
best_model.zip,10,6,3,6,0.0345,75.4717839006148,85.0335674446057
best_model.zip,10,6,3,9,0.05802,78.97491522489273,85.91749006087316
best_model.zip,10,6,3,12,0.07644,73.45489187439817,84.9977954232489
best_model.zip,10,9,1,6,0.02814,76.77687212032862,85.51867488515107
best_model.zip,10,9,1,9,0.02972,75.93256344319859,86.5719935613339
best_model.zip,10,9,1,12,0.03524,68.86159828013425,80.5801798509713
best_model.zip,10,9,2,6,0.02928,76.12075598742253,83.91434788783758
best_model.zip,10,9,2,9,0.0611,73.14519103035246,82.92180305707248
best_model.zip,10,9,2,12,0.04852,78.20345500304634,88.24766691889546
best_model.zip,10,9,3,6,0.05394,70.48478902950825,83.83395435950159
best_model.zip,10,9,3,9,0.08336,77.59043803151876,85.5531920860617
best_model.zip,10,9,3,12,0.1036,78.80085510850509,88.07392951973662
best_model.zip,20,3,1,6,0.02404,75.40125190668901,84.16219830202681
best_model.zip,20,3,1,9,0.02308,73.94521767749531,82.4136656070391
best_model.zip,20,3,1,12,0.02758,72.25693569698377,82.7436787646281
best_model.zip,20,3,2,6,0.03062,72.2346899391934,82.23299456383685
best_model.zip,20,3,2,9,0.03894,76.7198219854096,84.29249830011854
best_model.zip,20,3,2,12,0.0523,71.71233873635833,81.83364450950387
best_model.zip,20,3,3,6,0.05284,74.70482654499253,84.23920227475035
best_model.zip,20,3,3,9,0.08198,79.30233676897278,87.25503478009813
best_model.zip,20,3,3,12,0.10568,70.22557857613702,80.87522821086397
best_model.zip,20,6,1,6,0.03892,75.59826065473283,82.89027898750496
best_model.zip,20,6,1,9,0.0416,77.53607044114159,86.6013979091561
best_model.zip,20,6,1,12,0.05296,71.6842937111241,82.81666424653733
best_model.zip,20,6,2,6,0.0436,77.98999471024797,84.92130503435531
best_model.zip,20,6,2,9,0.06538,71.55866116675051,82.0757923917679
best_model.zip,20,6,2,12,0.07672,71.97003147378406,81.30742848679357
best_model.zip,20,6,3,6,0.0835,72.42453006352757,84.55639895709606
best_model.zip,20,6,3,9,0.10774,75.89643171285636,86.08790953802848
best_model.zip,20,6,3,12,0.14514,72.48198535672842,82.84958816076198
best_model.zip,20,9,1,6,0.053,75.86223795346147,85.19977833202509
best_model.zip,20,9,1,9,0.06494,74.78264094198715,83.83508433653655
best_model.zip,20,9,1,12,0.06548,76.71555507702148,83.74555419059912
best_model.zip,20,9,2,6,0.05984,72.53786157733875,81.59843055546784
best_model.zip,20,9,2,9,0.08236,78.57566474251173,87.70812526204351
best_model.zip,20,9,2,12,0.09288,68.11568046790036,79.96950700133999
best_model.zip,20,9,3,6,0.0951,72.33061168477155,84.42306472932992
best_model.zip,20,9,3,9,0.1464,75.44123673642389,85.44033861760741
best_model.zip,20,9,3,12,0.18458,70.23399228291554,81.65094116780628
best_model.zip,40,3,1,6,0.04524,71.59755102645764,80.44750959368267
best_model.zip,40,3,1,9,0.04774,76.01362386938519,85.14688313330056
best_model.zip,40,3,1,12,0.05426,72.09993333545904,82.58663396076828
best_model.zip,40,3,2,6,0.05144,72.41268127637812,84.56136344529193
best_model.zip,40,3,2,9,0.07136,77.00814813238286,85.84386054512156
best_model.zip,40,3,2,12,0.09392,74.60637691677775,81.55214109057495
best_model.zip,40,3,3,6,0.09234,76.16191430574992,85.83840046105102
best_model.zip,40,3,3,9,0.14758,81.74474935530917,89.48604176956297
best_model.zip,40,3,3,12,0.20618,73.62821979889381,83.19950751249434
best_model.zip,40,6,1,6,0.0677,76.6784362714034,84.64512644943467
best_model.zip,40,6,1,9,0.06484,75.07161649404466,85.38835347662798
best_model.zip,40,6,1,12,0.0813,79.60479925910742,88.5355111772158
best_model.zip,40,6,2,6,0.07298,75.42522500993341,86.69224642364759
best_model.zip,40,6,2,9,0.0994,72.54691164282535,83.38968562944785
best_model.zip,40,6,2,12,0.13594,72.95453369080809,82.47309565336622
best_model.zip,40,6,3,6,0.13706,72.66547430946137,82.28248889584148
best_model.zip,40,6,3,9,0.21104,70.47244923788753,83.18365307412729
best_model.zip,40,6,3,12,0.27302,73.49089978522031,83.14441620057589
best_model.zip,40,9,1,6,0.089,73.45959766919124,84.56780879949284
best_model.zip,40,9,1,9,0.11206,73.01449102712347,84.755065999247
best_model.zip,40,9,1,12,0.12164,73.99071190881816,84.52700761725407
best_model.zip,40,9,2,6,0.12362,75.79528396212346,85.69196702621353
best_model.zip,40,9,2,9,0.1348,75.48261790819296,85.37106298165548
best_model.zip,40,9,2,12,0.15852,78.65056590274274,88.94676854420602
best_model.zip,40,9,3,6,0.16806,73.81915295981209,83.33989524808624
best_model.zip,40,9,3,9,0.25242,73.08155023008015,83.89113358057115
best_model.zip,40,9,3,12,0.30366,73.1486258289836,83.84502974514815
