Model Name,Model LiDAR Scans,Eval LiDAR Range,Environment Size,Obstacle %,Normalized Steps,Success Rate,Avg Collisions
ppo_pathfinding_2025-05-26_08-00-04_12_50,12,25,100,0.1,1.56779,13.700000000000001,0.042
ppo_pathfinding_2025-05-26_08-00-04_12_50,12,50,100,0.1,1.59365,12.1,0.066
ppo_pathfinding_2025-05-26_08-00-04_12_50,12,100,100,0.1,1.60182,13.4,0.105
ppo_pathfinding_2025-05-26_08-00-04_12_50,12,200,100,0.1,1.6529800000000001,10.5,0.592
ppo_pathfinding_2025-03-17_13-58-44_24_50,24,25,100,0.1,0.61197,90.8,4.076
ppo_pathfinding_2025-03-17_13-58-44_24_50,24,50,100,0.1,0.50209,93.4,0.868
ppo_pathfinding_2025-03-17_13-58-44_24_50,24,100,100,0.1,0.40064,97.39999999999999,1.326
ppo_pathfinding_2025-03-17_13-58-44_24_50,24,200,100,0.1,0.45378,96.0,0.414
ppo_pathfinding_2025-05-26_12-01-19_48_50,48,25,100,0.1,0.95375,80.0,0.443
ppo_pathfinding_2025-05-26_12-01-19_48_50,48,50,100,0.1,0.84499,86.3,0.201
ppo_pathfinding_2025-05-26_12-01-19_48_50,48,100,100,0.1,0.6971900000000001,92.60000000000001,0.224
ppo_pathfinding_2025-05-26_12-01-19_48_50,48,200,100,0.1,0.5651700000000001,95.39999999999999,0.202
ppo_pathfinding_2025-05-26_13-30-45_96_50,96,25,100,0.1,1.78366,1.5,0.005
ppo_pathfinding_2025-05-26_13-30-45_96_50,96,50,100,0.1,1.78791,1.4000000000000001,0.003
ppo_pathfinding_2025-05-26_13-30-45_96_50,96,100,100,0.1,1.78527,1.6,0.0
ppo_pathfinding_2025-05-26_13-30-45_96_50,96,200,100,0.1,1.7570999999999999,1.3,0.0
ppo_pathfinding_2025-05-26_15-45-06_182_50,182,25,100,0.1,1.80424,2.4,0.0
ppo_pathfinding_2025-05-26_15-45-06_182_50,182,50,100,0.1,1.78353,1.9,0.004
ppo_pathfinding_2025-05-26_15-45-06_182_50,182,100,100,0.1,1.76801,2.8000000000000003,0.0
ppo_pathfinding_2025-05-26_15-45-06_182_50,182,200,100,0.1,1.7694,2.9000000000000004,0.0
ppo_pathfinding_2025-05-27_06-43-07_324_50,324,25,100,0.1,1.80294,2.0,0.0
ppo_pathfinding_2025-05-27_06-43-07_324_50,324,50,100,0.1,1.76751,1.7999999999999998,0.0
ppo_pathfinding_2025-05-27_06-43-07_324_50,324,100,100,0.1,1.72174,3.3000000000000003,0.0
ppo_pathfinding_2025-05-27_06-43-07_324_50,324,200,100,0.1,1.8063000000000002,2.1,0.0
ppo_pathfinding_2025-05-27_14-23-53_648_50,648,25,100,0.1,1.7546100000000002,2.4,0.011
ppo_pathfinding_2025-05-27_14-23-53_648_50,648,50,100,0.1,1.726,4.3999999999999995,0.019
ppo_pathfinding_2025-05-27_14-23-53_648_50,648,100,100,0.1,1.75877,3.9,0.061
ppo_pathfinding_2025-05-27_14-23-53_648_50,648,200,100,0.1,1.71646,5.1,0.0
