Model Name,Model LiDAR Scans,Eval LiDAR Range,Environment Size,Obstacle %,Normalized Steps,Success Rate,Avg Collisions,Truncated Runs (%)
ppo_pathfinding_2025-05-26_08-00-04_12_50,12,25,100,0.1,1.61315,13.4,0.021,86.6
ppo_pathfinding_2025-05-26_08-00-04_12_50,12,50,100,0.1,1.59827,12.7,0.156,87.3
ppo_pathfinding_2025-05-26_08-00-04_12_50,12,100,100,0.1,1.63026,11.899999999999999,0.053,88.1
ppo_pathfinding_2025-05-26_08-00-04_12_50,12,200,100,0.1,1.61341,12.6,0.251,87.4
ppo_pathfinding_2025-03-17_13-58-44_24_50,24,25,100,0.1,0.61419,89.9,3.589,10.100000000000001
ppo_pathfinding_2025-03-17_13-58-44_24_50,24,50,100,0.1,0.50527,93.10000000000001,3.335,6.9
ppo_pathfinding_2025-03-17_13-58-44_24_50,24,100,100,0.1,0.39124000000000003,97.2,1.124,2.8000000000000003
ppo_pathfinding_2025-03-17_13-58-44_24_50,24,200,100,0.1,0.42609,95.8,0.25,4.2
ppo_pathfinding_2025-05-26_12-01-19_48_50,48,25,100,0.1,0.9508599999999999,82.5,0.219,17.2
ppo_pathfinding_2025-05-26_12-01-19_48_50,48,50,100,0.1,0.8863,84.89999999999999,0.251,14.7
ppo_pathfinding_2025-05-26_12-01-19_48_50,48,100,100,0.1,0.67593,93.8,0.189,6.1
ppo_pathfinding_2025-05-26_12-01-19_48_50,48,200,100,0.1,0.59063,94.1,0.27,5.800000000000001
ppo_pathfinding_2025-05-26_13-30-45_96_50,96,25,100,0.1,1.7913299999999999,1.7000000000000002,0.002,98.3
ppo_pathfinding_2025-05-26_13-30-45_96_50,96,50,100,0.1,1.79853,1.6,0.004,98.3
ppo_pathfinding_2025-05-26_13-30-45_96_50,96,100,100,0.1,1.79535,1.4000000000000001,0.004,98.6
ppo_pathfinding_2025-05-26_13-30-45_96_50,96,200,100,0.1,1.77896,1.6,0.008,98.3
ppo_pathfinding_2025-05-26_15-45-06_182_50,182,25,100,0.1,1.77323,2.6,0.0,97.39999999999999
ppo_pathfinding_2025-05-26_15-45-06_182_50,182,50,100,0.1,1.78115,1.3,0.084,98.7
ppo_pathfinding_2025-05-26_15-45-06_182_50,182,100,100,0.1,1.75747,2.7,0.0,97.3
ppo_pathfinding_2025-05-26_15-45-06_182_50,182,200,100,0.1,1.79121,1.6,0.0,98.4
ppo_pathfinding_2025-05-27_06-43-07_324_50,324,25,100,0.1,1.7710100000000002,2.0,0.0,98.0
ppo_pathfinding_2025-05-27_06-43-07_324_50,324,50,100,0.1,1.7497600000000002,2.9000000000000004,0.0,97.1
ppo_pathfinding_2025-05-27_06-43-07_324_50,324,100,100,0.1,1.80142,2.5,0.0,97.5
ppo_pathfinding_2025-05-27_06-43-07_324_50,324,200,100,0.1,1.7498000000000002,2.3,0.0,97.7
ppo_pathfinding_2025-05-27_14-23-53_648_50,648,25,100,0.1,1.74281,3.2,0.0,96.8
ppo_pathfinding_2025-05-27_14-23-53_648_50,648,50,100,0.1,1.77873,3.3000000000000003,0.0,96.7
ppo_pathfinding_2025-05-27_14-23-53_648_50,648,100,100,0.1,1.76325,3.5000000000000004,0.002,96.5
ppo_pathfinding_2025-05-27_14-23-53_648_50,648,200,100,0.1,1.7326400000000002,4.3999999999999995,0.002,95.6
