Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
5,9,3,9,0.12071,66.50056071384112,most_efficient.zip
5,3,1,12,0.01121,65.80572866612982,most_efficient.zip
5,9,3,6,0.0884,63.19421829430498,most_efficient.zip
5,9,3,12,0.14807,60.50958471051647,most_efficient.zip
5,3,1,9,0.00774,64.78281605992683,most_efficient.zip
5,6,1,6,0.01159,65.7686418676538,most_efficient.zip
5,3,2,6,0.02067,71.27958614658868,most_efficient.zip
5,6,2,6,0.03037,66.17943082652016,most_efficient.zip
10,3,2,9,0.05855,66.51763908730666,most_efficient.zip
10,9,2,6,0.09651,69.91393452075312,most_efficient.zip
10,3,3,9,0.11625,63.23069349407888,most_efficient.zip
10,9,1,6,0.05104,66.44650657731424,most_efficient.zip
10,6,2,6,0.06662,68.03621801988157,most_efficient.zip
10,9,3,9,0.21902,61.62993614472725,most_efficient.zip
20,9,3,9,0.38713,71.19951064207977,most_efficient.zip
20,9,2,9,0.2902,64.10504850781552,most_efficient.zip
20,6,3,6,0.26689,66.4448857930312,most_efficient.zip
20,6,3,12,0.37475,65.42281628355346,most_efficient.zip
20,9,2,6,0.20781,64.8896827213598,most_efficient.zip
20,3,2,6,0.08086,72.22540090227682,most_efficient.zip
20,3,2,12,0.16763,67.50050056620536,most_efficient.zip
20,6,3,9,0.32788,64.44261077689981,most_efficient.zip
20,9,1,12,0.15185,64.84935606787926,most_efficient.zip
5,6,1,9,0.01656,63.9818385466194,most_efficient.zip
5,3,3,9,0.05856,63.23350403440769,most_efficient.zip
10,9,3,12,0.27064,65.47573504034007,most_efficient.zip
10,6,2,12,0.14886,65.44162924500392,most_efficient.zip
10,9,3,6,0.1856,64.57839323354138,most_efficient.zip
10,9,2,9,0.15739,66.19772181178868,most_efficient.zip
5,3,2,9,0.03077,66.7733138902812,most_efficient.zip
40,9,2,12,0.49627,67.49737059659076,most_efficient.zip
40,3,3,9,0.42466,61.66977136092162,most_efficient.zip
40,3,1,9,0.10779,64.90457617319686,most_efficient.zip
40,3,1,6,0.07341,64.66006879550778,most_efficient.zip
40,9,2,9,0.42626,65.41996789811492,most_efficient.zip
40,9,3,12,0.60118,65.57859893340792,most_efficient.zip
40,9,3,9,0.57011,69.34109457958131,most_efficient.zip
40,3,2,6,0.16974,64.50996252329068,most_efficient.zip
20,6,2,6,0.1506,63.19109552647788,most_efficient.zip
20,3,2,9,0.13745,57.012708794741286,most_efficient.zip
40,9,1,9,0.23101,64.88927676730783,most_efficient.zip
5,3,1,6,0.00804,72.88158605193983,most_efficient.zip
10,6,3,6,0.13842,65.4134821319356,most_efficient.zip
10,6,2,9,0.10727,67.91051061795021,most_efficient.zip
10,6,1,6,0.0402,68.36746366857471,most_efficient.zip
20,9,3,6,0.31609,66.6986959869901,most_efficient.zip
20,6,2,12,0.26214,66.52176891261672,most_efficient.zip
10,6,1,9,0.05697,65.05797999502715,most_efficient.zip
5,9,1,12,0.03248,62.475663072902336,most_efficient.zip
20,6,1,12,0.10935,65.8773332380156,most_efficient.zip
20,6,1,9,0.09434,63.92809374336858,most_efficient.zip
5,9,2,6,0.06082,67.98496173003417,most_efficient.zip
20,3,3,6,0.16245,69.33105770754474,most_efficient.zip
5,3,3,12,0.0622,66.23918338209447,most_efficient.zip
5,6,2,9,0.0589,61.66777994199988,most_efficient.zip
40,6,1,12,0.20379,69.85198908303161,most_efficient.zip
40,3,1,12,0.144,60.5834798119102,most_efficient.zip
5,6,3,12,0.09257,68.34913097285464,most_efficient.zip
5,6,1,12,0.03273,64.72163611277281,most_efficient.zip
5,6,3,6,0.07665,60.38605551094001,most_efficient.zip
5,9,1,6,0.02973,67.06370186942118,most_efficient.zip
20,6,2,9,0.20692,60.79055385026556,most_efficient.zip
10,6,3,12,0.20631,64.18137269338884,most_efficient.zip
5,3,2,12,0.03345,72.6629789630738,most_efficient.zip
10,3,3,12,0.12822,67.62319872981354,most_efficient.zip
40,3,2,9,0.25719,62.553890304547224,most_efficient.zip
40,6,1,9,0.17065,65.9457425399666,most_efficient.zip
10,3,3,6,0.08594,67.36615291230117,most_efficient.zip
20,3,3,12,0.26765,71.1676315421685,most_efficient.zip
5,9,2,9,0.07427,67.76748782041751,most_efficient.zip
5,3,3,6,0.02998,68.70826636068158,most_efficient.zip
10,9,2,12,0.17669,66.48280794947019,most_efficient.zip
20,3,1,9,0.06362,66.8329111715543,most_efficient.zip
5,9,1,9,0.02923,67.14033860832883,most_efficient.zip
40,6,1,6,0.12694,66.84257709104283,most_efficient.zip
40,6,3,9,0.5093,62.89179097017823,most_efficient.zip
