Environment Size,Obstacle %,Normalized Steps,Success Rate
100,1,2.4509999999999996,70.0
100,1,3.112,60.0
100,1,2.332,80.0
100,1,2.0309999999999997,80.0
100,1,3.9910000000000005,40.0
100,1,2.3440000000000003,80.0
100,1,2.427,80.0
100,1,2.9130000000000003,60.0
100,1,2.354,80.0
100,1,1.86,90.0
100,1,1.5950000000000002,90.0
100,1,1.6800000000000002,80.0
100,1,2.009,70.0
100,1,3.115,50.0
100,1,2.927,60.0
100,1,2.686,70.0
100,1,3.254,70.0
100,1,2.216,100.0
100,1,2.565,70.0
100,1,3.4550000000000005,60.0
100,1,2.242,90.0
100,1,2.9290000000000003,70.0
100,1,2.315,80.0
100,1,3.245,60.0
100,1,1.7910000000000004,80.0
