Environment Size,Obstacle %,Normalized Steps,Success Rate,Avg Collisions
100,1,1.11,0.0,0.0
100,1,1.81,0.0,0.0
100,1,1.31,0.0,0.0
100,1,2.35,0.0,0.0
100,1,2.43,0.0,0.0
100,1,2.65,0.0,50.0
100,1,1.23,0.0,0.0
100,1,3.23,0.0,0.0
100,1,1.11,0.0,0.0
100,1,1.04,0.0,25.0
100,1,1.86,0.0,0.0
100,1,2.22,0.0,0.0
100,1,2.29,0.0,9.0
100,1,1.61,0.0,42.0
100,1,1.65,0.0,0.0
100,1,0.85,0.0,9.0
100,1,1.99,0.0,0.0
100,1,1.38,0.0,0.0
100,1,2.69,0.0,101.0
100,1,1.23,0.0,0.0
100,1,1.85,0.0,0.0
100,1,1.14,0.0,0.0
100,1,2.69,0.0,0.0
100,1,2.71,0.0,0.0
100,1,2.49,0.0,0.0
