Environment Size,Obstacle %,Normalized Steps,Success Rate,Avg Collisions
25,0.1,0.3814800000000001,99.4,0.0
25,0.5,0.55984,90.0,0.251
25,1.0,0.72432,80.30000000000001,0.301
25,2.0,1.04076,59.199999999999996,0.631
25,5.0,1.302782258064516,38.5,0.657
50,0.1,0.45039999999999997,96.3,0.859
50,0.5,0.62206,89.1,0.821
50,1.0,0.95334,67.2,1.61
50,2.0,1.35352,39.1,1.78
50,5.0,1.6130232558139534,11.700000000000001,1.16
100,0.1,0.50165,93.2,2.811
100,0.5,0.64404,84.89999999999999,3.597
100,1.0,1.07533,60.199999999999996,4.043
100,2.0,1.58047,20.5,3.61
100,5.0,1.5974305555555555,2.1,0.995
150,0.1,0.4401933333333333,96.1,3.76
150,0.5,0.6881866666666667,83.5,5.946
150,1.0,1.1618199999999999,55.2,6.579
150,2.0,1.6828066666666666,12.1,5.358
150,5.0,1.5347260273972603,0.3,0.484
200,0.1,0.43001999999999996,94.6,6.386
200,0.5,0.719995,81.6,10.375
200,1.0,1.2992150000000002,45.0,7.824
200,2.0,1.7284249999999999,10.5,6.313
