Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
5,6,1,9,0.00424,71.72690698625041,safest.zip
5,6,2,9,0.01924,72.83200304006036,safest.zip
5,6,3,9,0.03832,78.81420394399602,safest.zip
5,9,1,6,0.00932,77.27364544935536,safest.zip
5,9,1,9,0.00661,71.69177720542133,safest.zip
10,3,3,9,0.05497,75.75472631504408,safest.zip
10,3,2,9,0.02183,72.32673635640704,safest.zip
10,6,3,6,0.04956,82.28547508273579,safest.zip
10,6,3,9,0.07563,72.17212056365284,safest.zip
10,9,3,9,0.10047,71.29410550525307,safest.zip
10,6,2,12,0.05428,73.71067280626276,safest.zip
10,3,2,12,0.03657,75.77324768579392,safest.zip
10,6,2,9,0.03512,73.68081110056248,safest.zip
10,6,3,12,0.10804,73.13099366191241,safest.zip
10,6,1,12,0.01633,73.57954741880658,safest.zip
10,9,1,12,0.02384,75.46768357521267,safest.zip
20,6,1,6,0.02132,73.46616937657569,safest.zip
20,6,2,9,0.06676,75.43597839209863,safest.zip
20,3,3,9,0.10772,75.60362631917893,safest.zip
20,3,2,12,0.07309,75.11327901449845,safest.zip
20,9,3,6,0.12824,73.49243911169023,safest.zip
20,3,3,12,0.15052,77.5385319488917,safest.zip
20,6,2,12,0.11018,75.53613981242208,safest.zip
20,3,1,9,0.01377,73.58474513182486,safest.zip
20,9,1,9,0.03971,76.17091905197658,safest.zip
20,9,2,9,0.09095,74.12397044061447,safest.zip
5,6,3,6,0.02164,76.10008443565997,safest.zip
5,9,3,12,0.07434,76.0207266321566,safest.zip
5,3,1,12,0.00897,72.06355043337248,safest.zip
10,9,2,9,0.04763,77.1537900014424,safest.zip
10,3,1,12,0.01199,73.26815186863183,safest.zip
10,9,2,6,0.0315,72.51840347053093,safest.zip
40,6,2,6,0.06561,78.97109247154525,safest.zip
5,3,3,9,0.03293,81.7547110416349,safest.zip
40,9,1,9,0.05616,75.94426557931374,safest.zip
40,9,2,6,0.10728,75.95090721188326,safest.zip
5,3,1,6,0.00251,72.10783840578546,safest.zip
40,9,3,9,0.34076,77.42166389785993,safest.zip
5,3,2,12,0.01979,76.34311758818731,safest.zip
5,6,3,12,0.0544,78.64706417212179,safest.zip
40,3,3,9,0.2071,77.816705135308,safest.zip
5,9,2,9,0.02512,76.36010872573787,safest.zip
40,6,1,12,0.0669,73.6631564475101,safest.zip
20,9,3,9,0.19801,74.89408263108709,safest.zip
20,9,3,12,0.2651,73.37454192358237,safest.zip
10,9,2,12,0.06898,76.27669782473485,safest.zip
20,9,2,6,0.04982,75.2755720700151,safest.zip
5,3,2,9,0.0092,76.33091646646987,safest.zip
5,9,1,12,0.01213,73.76581241617788,safest.zip
20,3,1,6,0.00984,76.23708182740366,safest.zip
20,3,1,12,0.0213,75.35095707387828,safest.zip
20,6,3,9,0.15898,73.97435414441894,safest.zip
5,6,2,12,0.02325,76.13415469848252,safest.zip
5,9,3,9,0.05762,80.05547694405821,safest.zip
5,9,2,12,0.04028,70.39947682214361,safest.zip
10,9,3,6,0.06607,74.3663497600957,safest.zip
5,6,2,6,0.01117,74.32323533683133,safest.zip
40,6,3,12,0.35459,77.8510324510351,safest.zip
10,3,3,6,0.02951,75.02746418653459,safest.zip
10,6,1,9,0.01537,74.46061517614997,safest.zip
10,9,1,6,0.01647,72.02842460456526,safest.zip
40,3,3,12,0.27098,75.5175101229168,safest.zip
40,3,2,12,0.13926,70.11251851320888,safest.zip
40,9,3,6,0.22088,77.39287177867924,safest.zip
40,3,2,9,0.08904,80.79718258137137,safest.zip
40,9,3,12,0.42375,75.14253176179287,safest.zip
40,9,1,6,0.05252,70.2811192514864,safest.zip
10,9,1,9,0.02141,74.64311530571976,safest.zip
20,6,3,6,0.10011,74.60195812987743,safest.zip
5,3,3,6,0.01529,72.52319410777764,safest.zip
20,6,3,12,0.1911,70.06701487412309,safest.zip
40,3,3,6,0.11722,71.88974084049212,safest.zip
20,6,1,9,0.02614,75.73740822896247,safest.zip
20,9,1,12,0.04892,76.35480115380582,safest.zip
5,9,2,6,0.01127,75.86865289495408,safest.zip
10,6,1,6,0.00957,72.14108692629726,safest.zip
5,3,3,12,0.0483,72.3078400394389,safest.zip
5,9,3,6,0.02986,75.04736495151582,safest.zip
20,6,2,6,0.03887,80.44756862240973,safest.zip
5,3,1,9,0.00314,76.97237763776066,safest.zip
40,3,2,6,0.0405,75.23923926269993,safest.zip
5,3,2,6,0.0048,71.68141929671728,safest.zip
10,3,1,9,0.00869,73.85487889011492,safest.zip
10,3,3,12,0.07801,78.99811176359785,safest.zip
40,3,1,6,0.02492,70.84649950049241,safest.zip
40,6,3,6,0.15842,74.25991882421265,safest.zip
10,6,2,6,0.02093,79.63846318346131,safest.zip
40,9,2,12,0.24844,79.60698492323516,safest.zip
20,3,3,6,0.06108,77.1372693108715,safest.zip
20,6,1,12,0.03003,78.32333470011204,safest.zip
20,3,2,9,0.05321,78.6287376078976,safest.zip
40,6,1,6,0.03942,71.28949882738507,safest.zip
20,9,2,12,0.13172,75.03450353727432,safest.zip
20,9,1,6,0.03688,77.1106856826032,safest.zip
40,9,2,9,0.18113,78.91567537618631,safest.zip
40,6,2,9,0.12753,76.87256780359903,safest.zip
40,9,1,12,0.08159,73.94029637380486,safest.zip
40,3,1,12,0.04617,74.54344174710191,safest.zip
40,6,1,9,0.04921,75.3782872161583,safest.zip
40,6,3,9,0.28777,77.02287352622098,safest.zip
