Number of Intruders,Intruder Size,Intruder Speed,Direction Change Interval,Avg Collisions per Step,Avg Deviation,Model
5,3,3,9,0.03136,76.67979158015552,agent.zip
5,6,2,9,0.01665,73.4939078454205,agent.zip
5,3,1,6,0.0029,71.43195425563478,agent.zip
5,3,3,6,0.0185,74.84028587493407,agent.zip
5,6,2,6,0.01059,75.23977102987702,agent.zip
5,6,1,9,0.00682,72.76472793602191,agent.zip
5,3,2,12,0.01864,79.96322613923239,agent.zip
10,3,1,9,0.00557,77.46863504960488,agent.zip
10,6,3,6,0.04456,70.14304765745702,agent.zip
10,3,3,9,0.06004,73.8214227426674,agent.zip
10,6,3,9,0.08688,76.32911246200717,agent.zip
10,9,1,12,0.02589,76.16434241735834,agent.zip
10,3,1,12,0.01212,74.57525219952123,agent.zip
10,9,2,9,0.05369,76.08606961828926,agent.zip
10,9,3,12,0.14417,75.54201172172634,agent.zip
10,6,1,6,0.00494,78.22980809694883,agent.zip
10,3,3,6,0.0374,69.6182534169017,agent.zip
10,6,1,9,0.00857,77.46587209107807,agent.zip
20,3,3,6,0.06299,72.54438998333242,agent.zip
20,6,1,6,0.02115,78.05632953261366,agent.zip
20,6,3,9,0.17344,73.75746831569764,agent.zip
20,6,2,6,0.04586,73.3043419967584,agent.zip
5,9,3,9,0.0506,75.75714398129533,agent.zip
5,9,1,9,0.00931,77.62421756724838,agent.zip
5,3,1,12,0.00643,72.54759715994314,agent.zip
5,9,1,6,0.00617,73.48808268753903,agent.zip
10,9,2,6,0.02905,76.61569389048326,agent.zip
5,3,1,9,0.00486,73.69358915728878,agent.zip
5,6,3,12,0.06066,70.29781049130786,agent.zip
40,3,1,9,0.02958,73.74130707269586,agent.zip
40,9,2,9,0.18368,77.08681530324479,agent.zip
40,6,1,12,0.05644,83.24425252067728,agent.zip
40,3,3,12,0.28859,73.09506490506271,agent.zip
40,9,1,9,0.07349,74.97551323655127,agent.zip
40,3,3,9,0.22535,72.72853422182055,agent.zip
40,6,3,6,0.18927,79.86590416450471,agent.zip
20,3,2,9,0.05224,77.47337698186207,agent.zip
40,9,3,6,0.21773,73.55253944265485,agent.zip
40,6,2,6,0.07172,74.4780892616105,agent.zip
40,6,2,9,0.13363,78.57756754836652,agent.zip
20,9,3,6,0.14344,74.58560878344359,agent.zip
20,9,3,9,0.21517,75.99399650986868,agent.zip
20,6,2,12,0.11281,77.14301576230204,agent.zip
20,3,3,9,0.12028,70.5959540617135,agent.zip
20,9,2,6,0.05192,77.89166116775927,agent.zip
20,6,3,6,0.09528,75.6993748691351,agent.zip
20,6,1,9,0.01991,75.55256625726203,agent.zip
20,3,1,12,0.0168,78.03564713176594,agent.zip
5,6,3,9,0.04284,75.76386229877116,agent.zip
10,6,1,12,0.0137,72.21356398870678,agent.zip
10,9,1,9,0.01613,75.70686817206041,agent.zip
10,6,2,6,0.01808,73.82704110051424,agent.zip
20,6,2,9,0.07177,79.90182128276996,agent.zip
20,9,1,9,0.02869,75.22793642909804,agent.zip
5,6,3,6,0.02148,76.55810872661645,agent.zip
5,9,2,9,0.0245,76.59396422837943,agent.zip
5,9,2,12,0.05151,77.78147852904999,agent.zip
5,6,1,12,0.01157,77.99965463173153,agent.zip
5,3,2,6,0.00498,75.69168303489933,agent.zip
40,9,3,12,0.44137,74.67925679824714,agent.zip
40,3,2,9,0.09126,72.47476037831473,agent.zip
40,3,2,12,0.14827,74.40956713148978,agent.zip
40,6,3,12,0.37346,78.85099856997604,agent.zip
20,9,2,12,0.14341,75.48565665651607,agent.zip
5,9,1,12,0.01012,76.1069922570998,agent.zip
10,9,2,12,0.07248,76.71882802441266,agent.zip
10,3,3,12,0.08197,73.65854788836839,agent.zip
5,9,2,6,0.01235,79.48527777644561,agent.zip
10,3,2,6,0.01044,73.2088930586528,agent.zip
10,3,2,9,0.03177,72.43971238172341,agent.zip
20,3,1,9,0.0206,72.7861366151278,agent.zip
20,6,3,12,0.2067,75.23968655087559,agent.zip
20,3,3,12,0.15882,77.56840068873578,agent.zip
20,9,1,6,0.0246,72.03104075024298,agent.zip
20,3,2,12,0.07335,77.67707626161864,agent.zip
5,9,3,6,0.03135,74.05248613346791,agent.zip
10,6,3,12,0.12196,68.98485120296922,agent.zip
5,6,2,12,0.03365,72.99078113537755,agent.zip
5,6,1,6,0.00296,74.7677195297851,agent.zip
10,9,3,9,0.11336,72.91245684359814,agent.zip
20,9,3,12,0.26966,72.48461068412043,agent.zip
10,9,1,6,0.0139,79.76549534120373,agent.zip
5,9,3,12,0.07599,78.53321984855536,agent.zip
5,3,3,12,0.04262,74.45243550378181,agent.zip
5,3,2,9,0.01402,77.94160736034293,agent.zip
10,6,2,12,0.06596,76.05247057304437,agent.zip
10,9,3,6,0.06967,75.87828437196119,agent.zip
40,9,2,12,0.25528,75.54741121012766,agent.zip
40,9,3,9,0.35808,77.45501873619469,agent.zip
20,3,1,6,0.01125,70.88922411649872,agent.zip
40,9,1,6,0.04917,71.44137835314143,agent.zip
40,3,3,6,0.11886,75.10931780658956,agent.zip
20,9,1,12,0.03981,77.28245751044865,agent.zip
40,3,1,6,0.02326,80.0417355012045,agent.zip
20,9,2,9,0.09608,73.69148478747684,agent.zip
40,3,1,12,0.04289,74.76155123133051,agent.zip
40,9,2,6,0.10993,73.46104303210218,agent.zip
40,6,1,6,0.04198,70.97951161229487,agent.zip
40,6,1,9,0.0542,79.18496719478375,agent.zip
40,3,2,6,0.04964,69.59165891269473,agent.zip
